Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1555555,01/01/2020,Midwest,Indiana,Fort Wayne,Men's Apparel,78.59,228,17918.52,5766.18,32.18,In-Store
Foot Locker,1000000,01/01/2020,Southeast,Florida,Tampa,Women's Street Footwear,109.7,266,29180.2,9515.66,32.61,Online
Foot Locker,1000000,01/01/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,94.54,390,36870.6,13004.26,35.27,Online
Sports Direct,1333333,01/01/2021,Northeast,New York,New York City,Men's Apparel,57.23,209,11961.07,5304.73,44.35,Outlet
Amazon,1111111,01/01/2021,West,Oregon,Eugene,Men's Athletic Footwear,130.84,360,47102.4,21172.53,44.95,Outlet
Walmart,1222222,01/01/2021,West,Oregon,Eugene,Women's Apparel,46.12,310,14297.2,6167.81,43.14,Online
Foot Locker,1000000,01/01/2021,West,Oregon,Eugene,Men's Athletic Footwear,139.72,556,77684.32,30296.88,39.0,Online
Kohl's,1444444,01/01/2021,Southeast,Florida,Tampa,Men's Apparel,53.75,265,14243.75,5331.44,37.43,In-Store
Sports Direct,1333333,01/01/2021,West,Oregon,Portland,Men's Street Footwear,72.92,528,38501.76,12809.54,33.27,Online
Sports Direct,1333333,01/01/2021,West,Nevada,Reno,Women's Street Footwear,107.82,272,29327.04,11859.85,40.44,In-Store
Kohl's,1444444,01/01/2021,Midwest,Indiana,Fort Wayne,Men's Athletic Footwear,129.48,460,59560.8,20298.32,34.08,In-Store
Kohl's,1444444,01/01/2021,West,Oregon,Portland,Women's Street Footwear,66.83,348,23256.84,9739.96,41.88,Online
Sports Direct,1333333,01/01/2021,West,Arizona,Tucson,Men's Apparel,60.35,472,28485.2,8109.74,28.47,Online
Sports Direct,1333333,01/01/2021,Midwest,Ohio,Columbus,Men's Apparel,42.36,472,19993.92,5750.25,28.76,In-Store
Finish Line,1666666,01/01/2021,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,93.6,312,29203.2,12569.06,43.04,In-Store
Finish Line,1666666,01/01/2021,West,California,San Diego,Women's Athletic Footwear,89.15,325,28973.75,11922.7,41.15,In-Store
Finish Line,1666666,01/01/2021,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,72.44,234,16950.96,5888.76,34.74,Outlet
Walmart,1222222,01/01/2021,Southeast,North Carolina,Charlotte,Men's Apparel,61.32,321,19683.72,5590.18,28.4,In-Store
Sports Direct,1333333,01/02/2020,Southeast,Tennessee,Memphis,Men's Street Footwear,91.71,411,37692.81,15740.52,41.76,In-Store
West Gear,1555555,01/02/2020,West,Nevada,Las Vegas,Women's Apparel,89.95,390,35080.5,10173.34,29.0,Outlet
Foot Locker,1000000,01/02/2020,South,Mississippi,Biloxi,Women's Street Footwear,115.73,471,54508.83,18489.4,33.92,Online
Finish Line,1666666,01/02/2020,Northeast,Massachusetts,Worcester,Men's Athletic Footwear,138.83,99,13744.17,4976.76,36.21,Online
Amazon,1111111,01/02/2020,South,Arkansas,Little Rock,Women's Athletic Footwear,76.91,111,8537.01,2476.59,29.01,In-Store
Kohl's,1444444,01/02/2020,West,Arizona,Phoenix,Men's Athletic Footwear,123.05,556,68415.8,32606.97,47.66,Outlet
Amazon,1111111,01/02/2020,West,Washington,Seattle,Men's Street Footwear,91.98,425,39091.5,15859.42,40.57,In-Store
West Gear,1555555,01/02/2020,West,Arizona,Phoenix,Women's Street Footwear,87.02,413,35939.26,15497.01,43.12,Outlet
Finish Line,1666666,01/02/2020,West,Nevada,Reno,Women's Apparel,55.3,195,10783.5,4068.61,37.73,Online
Finish Line,1666666,01/02/2020,Southeast,Florida,Miami,Women's Athletic Footwear,76.44,252,19262.88,9386.8,48.73,Online
Kohl's,1444444,01/02/2020,Northeast,Pennsylvania,Pittsburgh,Men's Street Footwear,91.95,275,25286.25,7350.71,29.07,Online
Foot Locker,1000000,01/02/2020,South,Arkansas,Fayetteville,Men's Apparel,83.42,126,10510.92,4120.28,39.2,Outlet
Walmart,1222222,01/02/2020,South,Arkansas,Fayetteville,Men's Apparel,69.13,163,11268.19,3679.06,32.65,In-Store
Amazon,1111111,01/02/2020,South,Louisiana,New Orleans,Men's Apparel,46.9,321,15054.9,7078.81,47.02,Online
Amazon,1111111,01/02/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,92.8,396,36748.8,13597.06,37.0,Outlet
Foot Locker,1000000,01/02/2021,West,Nevada,Las Vegas,Men's Apparel,37.14,215,7985.1,3145.33,39.39,In-Store
Amazon,1111111,01/02/2021,West,Washington,Seattle,Women's Street Footwear,86.68,309,26784.12,11693.95,43.66,Online
West Gear,1555555,01/02/2021,Southeast,Georgia,Savannah,Men's Apparel,62.53,467,29201.51,10605.99,36.32,In-Store
West Gear,1555555,01/02/2021,Northeast,Pennsylvania,Pittsburgh,Men's Athletic Footwear,83.2,338,28121.6,8309.93,29.55,In-Store
Finish Line,1666666,01/02/2021,South,Mississippi,Jackson,Women's Athletic Footwear,138.22,272,37595.84,16312.83,43.39,Online
Finish Line,1666666,01/02/2021,Midwest,Wisconsin,Madison,Men's Apparel,83.08,141,11714.28,3937.17,33.61,In-Store
Finish Line,1666666,01/02/2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,134.27,344,46188.88,15445.56,33.44,Online
Sports Direct,1333333,01/02/2021,West,Arizona,Phoenix,Women's Apparel,70.87,408,28914.96,9550.61,33.03,Outlet
Walmart,1222222,01/02/2021,South,Louisiana,Baton Rouge,Women's Athletic Footwear,116.23,186,21618.78,10660.22,49.31,In-Store
Sports Direct,1333333,01/02/2021,Midwest,Indiana,Indianapolis,Men's Street Footwear,83.73,299,25035.27,11929.31,47.65,In-Store
Amazon,1111111,01/02/2021,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,64.35,122,7850.7,2657.46,33.85,Outlet
Foot Locker,1000000,01/02/2021,Southeast,Virginia,Richmond,Men's Street Footwear,121.75,415,50526.25,14778.93,29.25,Online
Amazon,1111111,01/02/2021,West,Nevada,Las Vegas,Men's Street Footwear,106.84,574,61326.16,18250.67,29.76,Outlet
Finish Line,1666666,01/03/2020,West,California,Los Angeles,Men's Athletic Footwear,90.44,117,10581.48,4777.54,45.15,Online
West Gear,1555555,01/03/2020,Southeast,Florida,Miami,Women's Apparel,84.76,565,47889.4,18561.93,38.76,Online
Walmart,1222222,01/03/2020,Midwest,Ohio,Columbus,Women's Apparel,76.07,384,29210.88,13413.64,45.92,In-Store
West Gear,1555555,01/03/2020,Northeast,Pennsylvania,Philadelphia,Women's Apparel,71.46,291,20794.86,8906.44,42.83,In-Store
Finish Line,1666666,01/03/2020,West,Arizona,Phoenix,Men's Street Footwear,100.85,73,7362.05,2397.08,32.56,Outlet
Walmart,1222222,01/03/2020,Midwest,Indiana,Indianapolis,Women's Apparel,69.34,245,16988.3,6627.14,39.01,In-Store
Amazon,1111111,01/03/2020,Northeast,Massachusetts,Boston,Men's Apparel,79.0,287,22673.0,10232.32,45.13,Online
West Gear,1555555,01/03/2020,South,Louisiana,Baton Rouge,Women's Apparel,71.99,181,13030.19,6503.37,49.91,Outlet
Finish Line,1666666,01/03/2020,West,Oregon,Portland,Men's Street Footwear,82.9,464,38465.6,17240.28,44.82,In-Store
Finish Line,1666666,01/03/2020,Northeast,Massachusetts,Worcester,Men's Apparel,77.33,494,38201.02,14126.74,36.98,Outlet
Kohl's,1444444,01/03/2020,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,103.43,206,21306.58,10046.05,47.15,Online
Finish Line,1666666,01/03/2020,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,73.18,385,28174.3,8094.48,28.73,Outlet
Kohl's,1444444,01/03/2020,Southeast,Georgia,Savannah,Women's Street Footwear,99.0,348,34452.0,13160.66,38.2,Outlet
Sports Direct,1333333,01/03/2021,West,Washington,Spokane,Women's Street Footwear,81.8,506,41390.8,12578.66,30.39,In-Store
Finish Line,1666666,01/03/2021,South,Louisiana,Baton Rouge,Women's Athletic Footwear,75.75,513,38859.75,11016.74,28.35,In-Store
Amazon,1111111,01/03/2021,Midwest,Michigan,Grand Rapids,Men's Athletic Footwear,131.74,94,12383.56,4415.98,35.66,Online
Amazon,1111111,01/03/2021,Southeast,Georgia,Savannah,Women's Athletic Footwear,84.64,416,35210.24,16615.71,47.19,Online
Walmart,1222222,01/03/2021,Northeast,New York,Buffalo,Women's Apparel,71.42,146,10427.32,4907.1,47.06,Outlet
Sports Direct,1333333,01/03/2021,Northeast,Connecticut,New Haven,Women's Apparel,72.47,240,17392.8,6400.55,36.8,Outlet
Finish Line,1666666,01/03/2021,West,Washington,Seattle,Men's Athletic Footwear,125.07,628,78543.96,29901.69,38.07,Outlet
West Gear,1555555,01/03/2021,Midwest,Wisconsin,Madison,Women's Apparel,56.38,307,17308.66,8140.26,47.03,Online
Kohl's,1444444,01/03/2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,88.07,409,36020.63,15784.24,43.82,In-Store
Amazon,1111111,01/03/2021,Midwest,Wisconsin,Madison,Women's Street Footwear,101.67,428,43514.76,21117.71,48.53,Online
West Gear,1555555,01/03/2021,Southeast,Florida,Tampa,Women's Street Footwear,98.11,387,37968.57,14959.62,39.4,In-Store
West Gear,1555555,01/03/2021,Southeast,Tennessee,Nashville,Men's Athletic Footwear,120.59,150,18088.5,7123.25,39.38,In-Store
Foot Locker,1000000,01/03/2021,Southeast,Tennessee,Memphis,Men's Street Footwear,90.95,194,17644.3,6471.93,36.68,In-Store
Kohl's,1444444,01/04/2020,West,Washington,Spokane,Men's Athletic Footwear,111.23,236,26250.28,7930.21,30.21,Outlet
Kohl's,1444444,01/04/2020,Midwest,Illinois,Springfield,Women's Athletic Footwear,127.21,235,29894.35,13664.71,45.71,Online
Walmart,1222222,01/04/2020,South,Mississippi,Jackson,Men's Athletic Footwear,85.66,246,21072.36,8171.86,38.78,In-Store
Sports Direct,1333333,01/04/2020,Southeast,Florida,Tampa,Men's Street Footwear,93.53,215,20108.95,7297.54,36.29,Online
Finish Line,1666666,01/04/2020,Southeast,Florida,Tampa,Women's Athletic Footwear,116.67,513,59851.71,25341.21,42.34,Online
Amazon,1111111,01/04/2020,Midwest,Wisconsin,Madison,Men's Apparel,46.8,510,23868.0,11127.26,46.62,Outlet
Amazon,1111111,01/04/2020,West,Oregon,Portland,Women's Street Footwear,98.49,421,41464.29,12841.49,30.97,Outlet
Sports Direct,1333333,01/04/2021,West,Arizona,Phoenix,Women's Street Footwear,86.28,356,30715.68,10314.33,33.58,In-Store
Foot Locker,1000000,01/04/2021,Northeast,New Jersey,Newark,Women's Athletic Footwear,120.74,441,53246.34,22331.51,41.94,In-Store
Sports Direct,1333333,01/04/2021,Northeast,New Jersey,Jersey City,Men's Apparel,52.25,276,14421.0,7139.84,49.51,In-Store
Walmart,1222222,01/04/2021,Southeast,Virginia,Richmond,Men's Apparel,35.15,562,19754.3,7277.48,36.84,Outlet
Sports Direct,1333333,01/04/2021,West,Arizona,Tucson,Women's Apparel,86.76,511,44334.36,20305.14,45.8,Outlet
West Gear,1555555,01/04/2021,Southeast,Georgia,Savannah,Men's Apparel,46.06,91,4191.46,1378.99,32.9,In-Store
Foot Locker,1000000,01/04/2021,Midwest,Ohio,Columbus,Women's Street Footwear,102.35,535,54757.25,25100.72,45.84,In-Store
Foot Locker,1000000,01/04/2021,West,Washington,Spokane,Women's Street Footwear,69.66,551,38382.66,11468.74,29.88,Outlet
Sports Direct,1333333,01/04/2021,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,138.38,593,82059.34,23001.23,28.03,Online
Finish Line,1666666,01/04/2021,West,Oregon,Portland,Women's Apparel,61.36,206,12640.16,5902.95,46.7,In-Store
Kohl's,1444444,01/04/2021,Northeast,Connecticut,Hartford,Women's Street Footwear,87.69,381,33409.89,12338.27,36.93,Outlet
Sports Direct,1333333,01/04/2021,Northeast,New Jersey,Newark,Men's Street Footwear,118.7,340,40358.0,12220.4,30.28,In-Store
West Gear,1555555,01/04/2021,South,Louisiana,Baton Rouge,Women's Apparel,67.09,516,34618.44,16485.3,47.62,In-Store
Amazon,1111111,01/04/2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,46.75,65,3038.75,911.02,29.98,In-Store
Foot Locker,1000000,01/04/2021,Southeast,Tennessee,Nashville,Men's Apparel,37.83,483,18271.89,9006.21,49.29,In-Store
Foot Locker,1000000,01/04/2021,Southeast,Florida,Orlando,Men's Street Footwear,125.95,83,10453.85,4001.73,38.28,Online
Foot Locker,1000000,01/04/2021,Northeast,New York,Buffalo,Women's Apparel,65.14,157,10226.98,4346.47,42.5,In-Store
Sports Direct,1333333,01/04/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,110.13,423,46584.99,19854.52,42.62,Online
Walmart,1222222,01/04/2021,Midwest,Illinois,Chicago,Women's Street Footwear,88.52,537,47535.24,18011.1,37.89,Online
Amazon,1111111,01/05/2020,Northeast,Pennsylvania,Pittsburgh,Men's Athletic Footwear,136.51,236,32216.36,9507.05,29.51,In-Store
Sports Direct,1333333,01/05/2020,West,Oregon,Eugene,Women's Street Footwear,112.14,631,70760.34,30214.67,42.7,Online
Walmart,1222222,01/05/2020,West,Arizona,Tucson,Women's Apparel,87.48,220,19245.6,9345.66,48.56,Online
Amazon,1111111,01/05/2020,West,Oregon,Portland,Women's Apparel,54.35,355,19294.25,7025.04,36.41,Outlet
Walmart,1222222,01/05/2020,Midwest,Michigan,Grand Rapids,Men's Apparel,37.55,332,12466.6,4072.84,32.67,Online
Amazon,1111111,01/05/2020,Southeast,Tennessee,Memphis,Men's Athletic Footwear,91.11,549,50019.39,22183.6,44.35,Online
Amazon,1111111,01/05/2020,Northeast,Pennsylvania,Pittsburgh,Women's Athletic Footwear,82.4,356,29334.4,14523.46,49.51,Outlet
West Gear,1555555,01/05/2020,Southeast,Florida,Miami,Men's Street Footwear,95.68,251,24015.68,11244.14,46.82,In-Store
Foot Locker,1000000,01/05/2020,South,Mississippi,Biloxi,Men's Street Footwear,126.73,350,44355.5,20944.67,47.22,In-Store
West Gear,1555555,01/05/2020,Northeast,New York,Buffalo,Women's Athletic Footwear,122.69,358,43923.02,15302.78,34.84,Online
Walmart,1222222,01/05/2020,Midwest,Michigan,Detroit,Women's Apparel,45.05,242,10902.1,3220.48,29.54,Online
Kohl's,1444444,01/05/2020,South,Mississippi,Jackson,Men's Street Footwear,79.79,146,11649.34,5700.02,48.93,Outlet
Foot Locker,1000000,01/05/2020,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,100.77,518,52198.86,23207.61,44.46,Online
Kohl's,1444444,01/05/2020,Northeast,Connecticut,New Haven,Men's Street Footwear,72.99,138,10072.62,3635.21,36.09,In-Store
Sports Direct,1333333,01/05/2020,Midwest,Ohio,Columbus,Women's Street Footwear,102.42,182,18640.44,7966.92,42.74,Online
West Gear,1555555,01/05/2021,Southeast,Florida,Miami,Women's Apparel,89.26,211,18833.86,8863.21,47.06,Online
Finish Line,1666666,01/05/2021,Northeast,New York,New York City,Women's Apparel,64.7,317,20509.9,8242.93,40.19,In-Store
Foot Locker,1000000,01/05/2021,West,Washington,Seattle,Men's Apparel,51.05,264,13477.2,6287.11,46.65,Online
Sports Direct,1333333,01/05/2021,South,Mississippi,Biloxi,Men's Athletic Footwear,138.52,345,47789.4,23134.85,48.41,Online
Finish Line,1666666,01/05/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,127.96,92,11772.32,5578.9,47.39,Online
West Gear,1555555,01/05/2021,Northeast,Connecticut,New Haven,Women's Athletic Footwear,129.3,209,27023.7,13417.27,49.65,In-Store
Walmart,1222222,01/05/2021,West,Oregon,Portland,Men's Street Footwear,109.91,518,56933.38,21873.8,38.42,In-Store
Finish Line,1666666,01/05/2021,Northeast,New Jersey,Jersey City,Men's Apparel,55.85,582,32504.7,11249.88,34.61,Outlet
Kohl's,1444444,01/05/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,122.42,52,6365.84,2766.59,43.46,Online
Amazon,1111111,01/05/2021,Southeast,Virginia,Richmond,Men's Apparel,69.88,239,16701.32,5508.1,32.98,Online
Foot Locker,1000000,01/05/2021,West,Washington,Seattle,Men's Athletic Footwear,145.68,622,90612.96,30337.22,33.48,Outlet
Foot Locker,1000000,01/05/2021,Southeast,Florida,Tampa,Women's Apparel,47.43,256,12142.08,5809.99,47.85,Outlet
Walmart,1222222,01/05/2021,South,Louisiana,Baton Rouge,Men's Athletic Footwear,89.29,335,29912.15,10621.8,35.51,Online
Amazon,1111111,01/05/2021,Midwest,Ohio,Columbus,Women's Street Footwear,79.52,69,5486.88,2681.44,48.87,In-Store
Kohl's,1444444,01/06/2020,South,Texas,Austin,Men's Street Footwear,92.5,187,17297.5,7460.41,43.13,Online
Kohl's,1444444,01/06/2020,West,Washington,Seattle,Women's Street Footwear,116.2,476,55311.2,17843.39,32.26,Online
Amazon,1111111,01/06/2020,Northeast,Pennsylvania,Pittsburgh,Women's Street Footwear,111.11,343,38110.73,14333.45,37.61,Outlet
Walmart,1222222,01/06/2020,South,Arkansas,Fayetteville,Men's Street Footwear,106.5,383,40789.5,17074.48,41.86,Online
Kohl's,1444444,01/06/2020,West,Oregon,Portland,Women's Street Footwear,119.9,55,6594.5,2590.32,39.28,Outlet
Sports Direct,1333333,01/06/2020,Northeast,Pennsylvania,Pittsburgh,Women's Athletic Footwear,93.99,402,37783.98,12767.21,33.79,In-Store
Amazon,1111111,01/06/2020,Northeast,Pennsylvania,Pittsburgh,Men's Athletic Footwear,83.74,541,45303.34,20513.35,45.28,Outlet
West Gear,1555555,01/06/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,86.34,174,15023.16,7475.52,49.76,In-Store
Foot Locker,1000000,01/06/2020,Northeast,Pennsylvania,Pittsburgh,Women's Street Footwear,102.69,56,5750.64,2339.94,40.69,In-Store
Foot Locker,1000000,01/06/2020,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,120.14,392,47094.88,14999.72,31.85,Online
Finish Line,1666666,01/06/2021,Midwest,Michigan,Detroit,Women's Apparel,44.9,197,8845.3,3213.5,36.33,In-Store
Sports Direct,1333333,01/06/2021,West,Nevada,Reno,Men's Street Footwear,121.91,277,33769.07,15712.75,46.53,Online
Sports Direct,1333333,01/06/2021,Southeast,North Carolina,Raleigh,Men's Apparel,49.49,112,5542.88,2530.32,45.65,Online
Sports Direct,1333333,01/06/2021,West,Oregon,Eugene,Women's Street Footwear,82.69,526,43494.94,17989.51,41.36,In-Store
West Gear,1555555,01/06/2021,Northeast,Massachusetts,Boston,Men's Apparel,57.62,195,11235.9,4752.79,42.3,Online
Finish Line,1666666,01/06/2021,Northeast,New York,New York City,Men's Street Footwear,87.96,465,40901.4,18008.89,44.03,Online
Finish Line,1666666,01/07/2020,South,Mississippi,Jackson,Women's Street Footwear,82.35,459,37798.65,17806.94,47.11,In-Store
Foot Locker,1000000,01/07/2020,Midwest,Indiana,Indianapolis,Men's Street Footwear,95.07,339,32228.73,13664.98,42.4,Online
Amazon,1111111,01/07/2020,West,Oregon,Eugene,Men's Athletic Footwear,93.25,145,13521.25,5876.34,43.46,Online
Walmart,1222222,01/07/2020,West,Washington,Spokane,Men's Athletic Footwear,148.74,421,62619.54,21985.72,35.11,Online
Sports Direct,1333333,01/07/2020,Northeast,Massachusetts,Boston,Men's Street Footwear,78.68,212,16680.16,7457.7,44.71,Outlet
Finish Line,1666666,01/07/2020,Northeast,New Jersey,Jersey City,Men's Apparel,53.26,60,3195.6,1231.9,38.55,Outlet
Kohl's,1444444,01/07/2020,West,Nevada,Las Vegas,Men's Apparel,58.5,609,35626.5,10520.51,29.53,In-Store
West Gear,1555555,01/07/2020,West,California,San Diego,Women's Street Footwear,76.72,543,41658.96,16072.03,38.58,In-Store
Walmart,1222222,01/07/2020,Northeast,Massachusetts,Worcester,Men's Street Footwear,92.23,49,4519.27,1487.74,32.92,Online
Kohl's,1444444,01/07/2020,Northeast,New Jersey,Jersey City,Women's Apparel,70.95,503,35687.85,16006.0,44.85,Online
Walmart,1222222,01/07/2020,West,California,Los Angeles,Men's Street Footwear,95.13,326,31012.38,10823.32,34.9,Online
Finish Line,1666666,01/07/2020,Midwest,Michigan,Grand Rapids,Men's Athletic Footwear,146.53,380,55681.4,26988.77,48.47,Outlet
Sports Direct,1333333,01/07/2021,Northeast,Massachusetts,Worcester,Men's Apparel,37.62,527,19825.74,8374.39,42.24,Online
Walmart,1222222,01/07/2021,West,Nevada,Reno,Men's Athletic Footwear,133.09,77,10247.93,3105.12,30.3,Outlet
West Gear,1555555,01/07/2021,Midwest,Ohio,Cleveland,Men's Street Footwear,102.15,245,25026.75,8466.55,33.83,Outlet
West Gear,1555555,01/07/2021,West,Washington,Seattle,Women's Street Footwear,90.08,387,34860.96,12459.31,35.74,Online
Finish Line,1666666,01/07/2021,Northeast,New Jersey,Newark,Women's Street Footwear,80.28,165,13246.2,5709.11,43.1,In-Store
Walmart,1222222,01/07/2021,South,Oklahoma,Tulsa,Men's Apparel,81.85,271,22181.35,8848.14,39.89,Outlet
Walmart,1222222,01/07/2021,West,Washington,Seattle,Men's Apparel,51.34,317,16274.78,5281.17,32.45,Online
Foot Locker,1000000,01/07/2021,West,California,Los Angeles,Men's Apparel,75.85,311,23589.35,9232.87,39.14,Online
Walmart,1222222,01/07/2021,West,California,San Francisco,Men's Street Footwear,127.94,486,62178.84,20214.34,32.51,Online
Sports Direct,1333333,01/07/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,126.45,183,23140.35,8379.12,36.21,Outlet
Walmart,1222222,01/07/2021,South,Oklahoma,Tulsa,Men's Apparel,40.93,45,1841.85,794.39,43.13,Online
Sports Direct,1333333,01/07/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,98.63,559,55134.17,16010.96,29.04,In-Store
Foot Locker,1000000,01/07/2021,Midwest,Indiana,Indianapolis,Women's Apparel,73.31,379,27784.49,12519.69,45.06,Online
Sports Direct,1333333,01/07/2021,Northeast,New Jersey,Jersey City,Women's Street Footwear,86.86,226,19630.36,7149.38,36.42,In-Store
Foot Locker,1000000,01/07/2021,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,126.72,131,16600.32,6064.1,36.53,Online
Amazon,1111111,01/08/2020,Midwest,Indiana,Indianapolis,Men's Street Footwear,103.68,120,12441.6,5106.03,41.04,Online
Amazon,1111111,01/08/2020,West,Washington,Seattle,Men's Street Footwear,106.97,383,40969.51,20091.45,49.04,In-Store
Finish Line,1666666,01/08/2020,Southeast,Tennessee,Memphis,Women's Street Footwear,99.81,255,25451.55,9648.68,37.91,In-Store
Finish Line,1666666,01/08/2020,Northeast,Connecticut,Hartford,Women's Apparel,71.66,531,38051.46,16548.58,43.49,In-Store
Sports Direct,1333333,01/08/2020,Midwest,Michigan,Detroit,Women's Apparel,70.72,173,12234.56,3742.55,30.59,Online
Sports Direct,1333333,01/08/2020,Southeast,Florida,Orlando,Men's Athletic Footwear,125.74,71,8927.54,3870.09,43.35,In-Store
Sports Direct,1333333,01/08/2020,West,California,San Diego,Women's Athletic Footwear,134.8,435,58638.0,21907.16,37.36,In-Store
Walmart,1222222,01/08/2020,Northeast,New York,Buffalo,Women's Athletic Footwear,118.81,514,61068.34,17740.35,29.05,Online
Walmart,1222222,01/08/2020,Southeast,Virginia,Virginia Beach,Women's Athletic Footwear,130.81,320,41859.2,18577.11,44.38,In-Store
Kohl's,1444444,01/08/2020,Midwest,Ohio,Cleveland,Men's Street Footwear,128.4,485,62274.0,26061.67,41.85,Outlet
Sports Direct,1333333,01/08/2020,Northeast,New York,New York City,Men's Street Footwear,70.99,246,17463.54,7298.01,41.79,In-Store
Foot Locker,1000000,01/08/2020,South,Louisiana,Baton Rouge,Women's Street Footwear,92.86,272,25257.92,8522.02,33.74,In-Store
Amazon,1111111,01/08/2020,Northeast,Massachusetts,Worcester,Women's Street Footwear,65.79,492,32368.68,16100.18,49.74,Online
West Gear,1555555,01/08/2020,West,Oregon,Eugene,Men's Athletic Footwear,85.58,471,40308.18,17739.63,44.01,Online
West Gear,1555555,01/08/2020,West,Nevada,Las Vegas,Men's Apparel,38.16,413,15760.08,7205.51,45.72,Online
West Gear,1555555,01/08/2020,West,Oregon,Eugene,Men's Apparel,83.2,512,42598.4,17716.67,41.59,Outlet
Amazon,1111111,01/08/2021,Midwest,Illinois,Springfield,Women's Athletic Footwear,81.68,443,36184.24,17169.42,47.45,In-Store
West Gear,1555555,01/08/2021,Northeast,Massachusetts,Worcester,Men's Apparel,73.73,499,36791.27,14223.5,38.66,Outlet
Kohl's,1444444,01/08/2021,Midwest,Ohio,Cleveland,Men's Street Footwear,124.35,73,9077.55,3838.9,42.29,Online
West Gear,1555555,01/08/2021,South,Mississippi,Biloxi,Men's Apparel,74.71,205,15315.55,6538.21,42.69,Online
Sports Direct,1333333,01/08/2021,Southeast,Georgia,Savannah,Women's Street Footwear,84.41,185,15615.85,7088.03,45.39,Online
Kohl's,1444444,01/08/2021,South,Arkansas,Fayetteville,Women's Apparel,80.78,450,36351.0,12991.85,35.74,Outlet
Finish Line,1666666,01/08/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,91.04,91,8284.64,2375.21,28.67,In-Store
Amazon,1111111,01/08/2021,West,California,San Diego,Women's Apparel,48.17,380,18304.6,6234.55,34.06,Outlet
West Gear,1555555,01/08/2021,West,Oregon,Eugene,Men's Street Footwear,122.42,563,68922.46,21655.44,31.42,In-Store
Sports Direct,1333333,01/08/2021,Southeast,Georgia,Savannah,Women's Athletic Footwear,101.6,502,51003.2,23777.69,46.62,In-Store
West Gear,1555555,01/08/2021,South,Arkansas,Fayetteville,Women's Street Footwear,106.6,354,37736.4,17913.47,47.47,In-Store
